Epoch,Temp C,Humidity %,Pressure mB
1761276376,31.72,45.97363,1006.9939
1761276436,31.59,46.38867,1007.02576
1761276466,31.64,46.42871,1007.0943
1761276496,31.59,46.25098,1007.06726
1761276526,31.62,46.38086,1006.97852
1761276556,31.64,46.49902,1006.97968
1761276586,31.65,46.47754,1007.08221
1761276616,31.51,46.78809,1006.97778
1761276646,31.53,46.87012,1006.97766
1761276676,31.59,46.91113,1006.95203
1761276706,31.32,47.10449,1006.94623
1761276736,31.46,47.12988,1006.88312
1761276766,31.57,46.83984,1006.91656
1761276796,31.4,47.18066,1006.91876
1761276826,31.36,47.17773,1006.88763
1761276856,31.42,47.125,1006.89673
1761276886,31.49,47.19043,1006.84589
1761276916,31.47,47.1875,1006.94513
1761276946,31.47,47.1543,1006.86798
1761276976,31.45,47.2334,1006.87622
1761277006,31.57,46.94434,1006.84888
1761277036,31.61,47.08691,1006.79944
1761277066,31.69,46.92188,1006.82422
1761277096,31.61,46.88965,1006.73248
1761277126,31.67,46.9082,1006.77905
1761277156,31.72,46.68066,1006.7417
1761277186,31.61,46.94922,1006.69995
1761277216,31.65,46.8125,1006.71466
1761277248,31.67,46.79199,1006.69971
1761277278,31.76,46.75488,1006.71686
1761277308,31.74,46.64844,1006.70905
1761277338,31.62,46.85645,1006.69843
1761277368,31.7,46.8877,1006.75116
1761277398,31.64,46.82324,1006.74341
1761277428,31.66,46.84961,1006.85565
1761277458,31.75,46.68262,1006.81519
1761277488,31.67,46.66504,1006.83197
1761277518,31.79,46.58398,1006.79773
1761277548,31.8,46.3877,1006.81201
1761277578,31.39,47.21484,1006.83521
1761277608,31.45,47.22168,1006.81451
1761277638,31.33,47.38281,1006.83203
1761277668,31.32,47.56738,1006.77313
1761277698,31.44,47.35938,1006.72339
1761277728,31.55,47.3584,1006.76666
1761277758,31.59,47.23535,1006.73486
1761277788,31.57,47.17578,1006.76111
1761277818,31.6,47.00488,1006.72479
1761277848,31.59,47.1084,1006.65228
1761277878,31.57,47.22168,1006.65289
1761277908,31.68,47.16406,1006.6272
1761277938,31.72,47.21484,1006.61908
1761277968,31.78,47.09277,1006.58838
1761277998,31.83,46.84277,1006.60181
1761278028,31.82,46.94531,1006.61255
1761278058,31.9,46.72168,1006.68781
1761278088,31.86,46.81152,1006.71466
1761278118,31.8,46.81738,1006.62659
1761276406,31.58,46.22656,1007.03424
1761278148,31.73,47.00684,1006.56311
1761278178,31.74,47.00781,1006.59875
1761278208,31.7,47.00391,1006.58392
1761278238,31.68,47.17578,1006.60431
1761278268,31.69,47.18848,1006.54388
1761278298,31.72,47.09863,1006.67548
1761278328,31.67,47.22168,1006.55658
1761278358,31.76,47.27734,1006.61249
1761278388,31.72,47.20312,1006.56616
1761278418,31.77,47.19629,1006.55359
1761278448,31.81,47.14258,1006.55548
1761278478,31.73,47.21484,1006.60797
1761278508,31.65,47.43945,1006.5531
1761278538,31.68,47.46484,1006.57922
1761278568,31.66,47.45215,1006.52625
1761278598,31.71,47.46875,1006.48578
1761278628,31.75,47.34473,1006.45599
1761278658,31.73,47.59766,1006.42847
1761278688,31.74,47.59863,1006.53595
